时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:11.447Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6514,-0.7261,-0.0205,-0.18,0.55,-0.18,-91.68,41.89,-178.27,0.266205,0.238861,0.673645,-0.646667
"2025-04-18T08:39:11.468Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3169,0.0107,0.9707,0.00,0.00,0.12,0.71,-18.12,-62.97,0.842468,-0.077057,-0.137482,-0.515076
"2025-04-18T08:39:11.492Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0596,0.0620,1.0088,-0.12,-0.49,0.06,3.55,-3.38,-10.68,0.994781,0.028137,-0.032288,-0.092041
"2025-04-18T08:39:11.529Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.6582,0.6685,-0.2959,-0.55,-3.05,0.18,8.38,6.30,95.67,0.671387,0.008423,0.090790,0.735382
"2025-04-18T08:39:11.557Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6519,-0.7271,-0.0200,0.12,0.12,-0.31,-91.68,41.89,-178.25,0.266296,0.238739,0.673706,-0.646606
"2025-04-18T08:39:11.495Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0283,0.0337,1.0239,-0.06,-0.06,0.06,1.91,1.71,-128.69,0.432587,0.020660,-0.008606,-0.901245
"2025-04-18T08:39:11.504Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3174,0.0107,0.9692,0.06,-0.49,0.06,0.71,-18.12,-63.00,0.842438,-0.077087,-0.137451,-0.515137
"2025-04-18T08:39:11.580Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1470,-0.2954,0.9771,0.00,0.06,0.00,-15.65,-8.57,97.64,0.657959,-0.033600,-0.150940,0.736908
"2025-04-18T08:39:11.492Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0596,0.0620,1.0088,-0.12,-0.49,0.06,3.55,-3.38,-10.68,0.994781,0.028137,-0.032288,-0.091980
"2025-04-18T08:39:11.715Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0303,0.0327,1.0229,-0.24,-0.37,0.06,1.91,1.70,-128.69,0.432526,0.020660,-0.008606,-0.901276
"2025-04-18T08:39:11.812Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6514,-0.7271,-0.0186,0.00,0.18,0.31,-91.68,41.89,-178.22,0.266479,0.238586,0.673737,-0.646545
"2025-04-18T08:39:11.710Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0586,0.0635,1.0083,0.00,-0.24,0.06,3.55,-3.38,-10.66,0.994812,0.028137,-0.032288,-0.091888
"2025-04-18T08:39:11.875Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1470,-0.2959,0.9795,0.37,-0.18,-0.06,-15.66,-8.57,97.82,0.656891,-0.033447,-0.151062,0.737854
"2025-04-18T08:39:11.715Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.4707,0.6689,-0.3647,70.62,39.12,5.25,39.16,16.93,120.45,0.470276,0.040741,0.421448,0.774231
"2025-04-18T08:39:11.715Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0303,0.0327,1.0229,-0.24,-0.37,0.06,1.91,1.70,-128.69,0.432526,0.020630,-0.008606,-0.901276
"2025-04-18T08:39:11.790Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3193,0.0132,0.9697,0.06,0.12,0.06,0.70,-18.12,-63.06,0.842102,-0.077179,-0.137421,-0.515656
"2025-04-18T08:39:12.067Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.4814,0.6221,-0.3604,66.22,71.72,-65.19,58.09,24.26,134.45,0.425415,0.011963,0.512329,0.745819
"2025-04-18T08:39:12.119Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0581,0.0625,1.0059,-0.37,-0.31,0.06,3.56,-3.38,-10.64,0.994812,0.028168,-0.032288,-0.091675
"2025-04-18T08:39:12.171Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6514,-0.7261,-0.0210,0.12,0.18,-0.37,-91.68,41.89,-178.16,0.266815,0.238251,0.673859,-0.646423
"2025-04-18T08:39:12.129Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3184,0.0127,0.9746,0.00,-0.24,0.12,0.70,-18.12,-63.13,0.841736,-0.077271,-0.137329,-0.516266
"2025-04-18T08:39:12.211Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1494,-0.2925,0.9722,0.00,-0.12,0.00,-15.68,-8.57,98.09,0.654846,-0.033142,-0.151276,0.739655
"2025-04-18T08:39:12.306Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.6104,0.5879,-0.7402,-55.42,-157.65,89.78,-2.47,-4.14,4.41,0.998352,-0.020142,-0.036926,0.037689
"2025-04-18T08:39:12.211Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0298,0.0342,1.0244,-0.55,-0.37,0.06,1.91,1.70,-128.71,0.432434,0.020599,-0.008606,-0.901337
"2025-04-18T08:39:12.497Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6494,-0.7261,-0.0239,-0.12,0.67,0.49,-91.72,41.80,-178.19,0.266205,0.237854,0.674225,-0.646423
"2025-04-18T08:39:12.496Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1455,-0.2944,0.9795,0.61,1.59,-0.06,-15.68,-8.57,98.21,0.654510,-0.033325,-0.150787,0.740051
"2025-04-18T08:39:12.620Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0317,0.0337,1.0225,0.31,0.43,0.06,1.91,1.70,-128.72,0.432373,0.020569,-0.008606,-0.901367
"2025-04-18T08:39:12.620Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.3125,0.0059,0.9668,0.55,-1.10,-0.06,0.70,-18.16,-63.17,0.841553,-0.077545,-0.137970,-0.516357
"2025-04-18T08:39:12.496Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0576,0.0615,1.0078,0.00,0.06,0.00,3.56,-3.38,-10.62,0.994843,0.028168,-0.032288,-0.091492
"2025-04-18T08:39:12.849Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0303,0.0332,1.0225,0.00,0.00,0.00,1.91,1.70,-128.72,0.432281,0.020538,-0.008575,-0.901398
