时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
"2025-04-19T13:04:42.208Z",VBubCLpULujUJzxgnYfzlA==,"WT901BLE67",1.2017,0.1387,-0.0864,66.16,-63.54,24.05,-177.07,-85.01,-35.36
"2025-04-19T13:04:42.226Z",iwkkuKlt9JDLw/3sSQ3+pg==,"WT901BLE67",-0.1138,0.1875,1.0024,28.32,-9.77,-39.92,12.77,3.63,-119.11
"2025-04-19T13:04:42.230Z",3N6rctZjwVlaYr2CbUqm3Q==,"WT901BLE67",0.0801,0.0996,1.0020,4.52,-34.36,-28.56,0.00,0.00,0.00
"2025-04-19T13:04:42.236Z",rwHR4U7Pc1S7VKivRzbbzA==,"WT901BLE67",0.0044,0.8369,0.3394,14.89,-50.05,-63.90,82.52,-4.82,59.70
"2025-04-19T13:04:42.240Z",XyRhMFXwqIwlgYiQKdkCQg==,"WT901BLE67",-0.1211,-0.0605,0.9937,2.26,13.00,-63.90,-7.40,7.34,-139.16
"2025-04-19T13:04:42.246Z",enmdkdXBGq18tn2Er0aeYQ==,"WT901BLE67",0.8691,0.5000,0.1235,-117.43,-72.94,-53.28,78.65,-60.79,-58.11
"2025-04-19T13:04:42.258Z",VBubCLpULujUJzxgnYfzlA==,"WT901BLE67",1.1108,-0.0215,-0.0679,-82.70,14.16,-8.91,176.69,-80.51,-32.85
"2025-04-19T13:04:42.276Z",iwkkuKlt9JDLw/3sSQ3+pg==,"WT901BLE67",-0.0146,0.1675,1.0273,23.13,-41.93,-47.00,14.66,1.81,-124.34
"2025-04-19T13:04:42.286Z",rwHR4U7Pc1S7VKivRzbbzA==,"WT901BLE67",0.1431,0.8857,0.2168,36.56,-7.02,12.82,84.75,-3.05,56.89
"2025-04-19T13:04:42.292Z",3N6rctZjwVlaYr2CbUqm3Q==,"WT901BLE67",0.2598,-0.0386,0.9868,-15.08,-41.20,-67.57,0.00,0.00,0.00
